modelo,AUPRC,AUROC,utility_normalizado,umbral,sensibilidad_a_5%_alarmas,prevalencia_horas,detectados,no_detectados_antes_del_evento,anticipacion_mediana_h,anticipacion_p25_h,anticipacion_p75_h
CatBoost,0.12288861816099474,0.849661117258766,0.35750559155818185,0.7838407459139817,0.3811701924909472,0.016871545384682166,237,314,45.0,14.0,93.0
XGBoost,0.11266181973528651,0.8428988469991262,0.34721067270746186,0.7481423616409302,0.37145035258242803,0.016871545384682166,246,305,45.0,14.0,92.5
HistGradientBoosting,0.11435335875713254,0.8375495129327495,0.3384505648907508,0.7216770323529751,0.3670668953687822,0.016871545384682166,263,288,43.0,14.0,95.0
LightGBM,0.10324408196763109,0.8281337991526052,0.3180005161438327,0.8006280375736102,0.34610253478178005,0.016871545384682166,248,303,49.0,18.0,99.25
GRU (secuencial),0.10329010665739687,0.8165412457782596,0.31396599185639784,0.8435300588607788,0.34190966266437967,0.016871545384682166,210,341,44.5,14.0,89.75
LogReg,0.086871072032971,0.8036567049722452,0.28931582267591954,0.7997286915779114,0.3199923765961502,0.016871545384682166,241,310,47.0,17.0,87.0
