escenario,modelo,AUROC,AUPRC,segundos,prevalencia_test_%,lift_AUPRC
Intra-cohorte (A+B),LogReg,0.8036567049722452,0.086871072032971,39.14466834068298,1.687,5.15
Intra-cohorte (A+B),HistGradientBoosting,0.8375495129327495,0.11435335875713254,51.64024758338928,1.687,6.78
Intra-cohorte (A+B),LightGBM,0.8281337991526052,0.10324408196763109,10.939602613449097,1.687,6.12
Intra-cohorte (A+B),XGBoost,0.8428988469991262,0.11266181973528651,19.04611611366272,1.687,6.68
Intra-cohorte (A+B),CatBoost,0.849661117258766,0.12288861816099474,18.30920648574829,1.687,7.28
