feature,shap_medio_abs,familia
MAP_std_6h,0.0040594017805063954,Estado fisiológico
DBP_edad,0.004042024272631599,Práctica de medición
HR_min_24h,0.0040127478258978585,Estado fisiológico
O2Sat_pend_24h,0.003993978022020449,Estado fisiológico
EtCO2_media_24h,0.003966593798999019,Estado fisiológico
EtCO2_ult,0.003949870566390788,Estado fisiológico
Resp_pend_24h,0.0039012496190106703,Estado fisiológico
SBP_edad,0.0038376897753994044,Práctica de medición
Chloride_edad,0.003554942333399531,Práctica de medición
DBP_pend_24h,0.0033595921632253016,Estado fisiológico
Fibrinogen_edad,0.0031862004747634843,Práctica de medición
Magnesium_edad,0.00291361677785281,Práctica de medición
O2Sat_media_6h,0.0028219132196764126,Estado fisiológico
DBP_std_6h,0.0024528274296642828,Estado fisiológico
O2Sat_max_24h,0.0023346766287191505,Estado fisiológico
EtCO2_min_24h,0.002248563661443168,Estado fisiológico
Hgb_medido,0.0022260188380294915,Práctica de medición
Temp_delta_basal,0.0021504884292431066,Estado fisiológico
EtCO2_max_6h,0.0021061978336847716,Estado fisiológico
Temp_min_6h,0.0020971156547647985,Estado fisiológico
indice_shock,0.0018345442488296342,Estado fisiológico
EtCO2_std_24h,0.0014293665527219351,Estado fisiológico
O2Sat_delta_basal,0.0010571046550055503,Estado fisiológico
Bilirubin_total_medido,0.0008347413727097875,Práctica de medición
Resp_medido,0.0,Práctica de medición
DBP_medido,0.0,Práctica de medición
MAP_medido,0.0,Práctica de medición
SBP_medido,0.0,Práctica de medición
O2Sat_medido,0.0,Práctica de medición
HR_medido,0.0,Práctica de medición
Platelets_edad,0.0,Práctica de medición
WBC_edad,0.0,Práctica de medición
PTT_edad,0.0,Práctica de medición
TroponinI_edad,0.0,Práctica de medición
Magnesium_ult,0.0,Estado fisiológico
Resp_ult,0.0,Estado fisiológico
BUN_edad,0.0,Práctica de medición
Creatinine_edad,0.0,Práctica de medición
Bilirubin_direct_ult,0.0,Estado fisiológico
Bilirubin_direct_edad,0.0,Práctica de medición
BaseExcess_edad,0.0,Práctica de medición
EtCO2_edad,0.0,Práctica de medición
O2Sat_edad,0.0,Práctica de medición
MAP_edad,0.0,Práctica de medición
O2Sat_ult,0.0,Estado fisiológico
Gender,0.0,Contexto administrativo
Creatinine_medido,0.0,Práctica de medición
Chloride_medido,0.0,Práctica de medición
PTT_medido,0.0,Práctica de medición
Hct_medido,0.0,Práctica de medición
TroponinI_medido,0.0,Práctica de medición
Potassium_medido,0.0,Práctica de medición
Platelets_medido,0.0,Práctica de medición
Fibrinogen_medido,0.0,Práctica de medición
WBC_medido,0.0,Práctica de medición
n_vitales_hora,0.0,Práctica de medición
MAP_pend_6h,0.0,Estado fisiológico
O2Sat_max_6h,0.0,Estado fisiológico
O2Sat_pend_6h,0.0,Estado fisiológico
Temp_std_6h,0.0,Estado fisiológico
Alkalinephos_medido,0.0,Práctica de medición
Calcium_medido,0.0,Práctica de medición
Phosphate_medido,0.0,Práctica de medición
Magnesium_medido,0.0,Práctica de medición
AST_medido,0.0,Práctica de medición
BUN_medido,0.0,Práctica de medición
HCO3_medido,0.0,Práctica de medición
BaseExcess_medido,0.0,Práctica de medición
pH_medido,0.0,Práctica de medición
PaCO2_medido,0.0,Práctica de medición
SaO2_medido,0.0,Práctica de medición
FiO2_medido,0.0,Práctica de medición
Glucose_medido,0.0,Práctica de medición
Bilirubin_direct_medido,0.0,Práctica de medición
Temp_min_24h,0.0,Estado fisiológico
Temp_std_24h,0.0,Estado fisiológico
EtCO2_min_6h,0.0,Estado fisiológico
EtCO2_media_6h,0.0,Estado fisiológico
HR_std_24h,0.0,Estado fisiológico
EtCO2_pend_6h,0.0,Estado fisiológico
SBP_pend_24h,0.0,Estado fisiológico
DBP_delta_basal,0.0,Estado fisiológico
MAP_delta_basal,0.0,Estado fisiológico
EtCO2_pend_24h,0.0,Estado fisiológico
Resp_delta_basal,0.0,Estado fisiológico
EtCO2_delta_basal,0.0,Estado fisiológico
qsofa_parcial,0.0,Estado fisiológico
presion_pulso,0.0,Estado fisiológico
